 !! ---------- Fit Parameter Table -----------------
!!KERNEL_FILE                                                                                                         
 !! ENERGY,WESUM,ESUM,NCASE, DR,DUMMY,DZ,IR,IZ,Z0
 !!  0.3569677      3.5689788E+07  1.4713424E+07   100000000  0.2000000    
 !!  0.0000000E+00  0.2000000             101         201   20.00000    
 !! Minimum radius for fitting (> outer source channel)  0.2000000    
 !! Minimum and maximum angles to fit directly for primary
 !! and scatter respectively. The rest is interpolated 
 !!   5.000000       175.0000       8.000000       172.0000    
!!  0.30E-01  0.90E-01  0.40E-04  0.43E+00  -.40E-02  0.70E-02  0.60E-01
!! angle      a1                 a2              a3        b1                b2              b3              b4       
   [deg]
!!____________________________________________________________________________________________________________________
    0.0   0.1632033E-01   0.1846557       0.3387102E-02   0.6640927      -0.1074690E-02   0.4679850E-02   0.6950590E-01
    1.0   0.1638012E-01   0.1800208       0.3187080E-02   0.6641387      -0.1062789E-02   0.4680656E-02   0.6949304E-01
    2.0   0.1658528E-01   0.1687822       0.2702356E-02   0.6643546      -0.1028867E-02   0.4682536E-02   0.6945696E-01
    3.0   0.1695687E-01   0.1559694       0.2150123E-02   0.6647192      -0.9777976E-03   0.4685618E-02   0.6940338E-01
    4.0   0.1745708E-01   0.1449015       0.1673222E-02   0.6652312      -0.9158892E-03   0.4689796E-02   0.6933975E-01
    5.0   0.1801577E-01   0.1365340       0.1312508E-02   0.6658725      -0.8493214E-03   0.4694879E-02   0.6927257E-01
    6.0   0.1824976E-01   0.1266609       0.9184882E-03   0.6668232      -0.7828057E-03   0.4699170E-02   0.6920772E-01
    7.0   0.1874353E-01   0.1214592       0.7095296E-03   0.6676321      -0.7202375E-03   0.4705339E-02   0.6914677E-01
    8.0   0.1942325E-01   0.1212670       0.7275273E-03   0.6684743      -0.6633059E-03   0.4711642E-02   0.6909173E-01
    9.0   0.1952840E-01   0.1129353       0.2861910E-03   0.6668869      -0.5721395E-03   0.4730363E-02   0.6898686E-01
   10.0   0.2016428E-01   0.1138018       0.3334890E-03   0.6665083      -0.5220613E-03   0.4743122E-02   0.6903649E-01
   11.0   0.2085720E-01   0.1157631       0.4590128E-03   0.6645949      -0.4379890E-03   0.4743950E-02   0.6896368E-01
   12.0   0.2153061E-01   0.1178334       0.5893412E-03   0.6636403      -0.3964443E-03   0.4750980E-02   0.6865989E-01
   13.0   0.2185290E-01   0.1153101       0.4417119E-03   0.6639038      -0.3874724E-03   0.4776832E-02   0.6906227E-01
   14.0   0.2240309E-01   0.1159087       0.4346629E-03   0.6632389      -0.3395174E-03   0.4773070E-02   0.6833430E-01
   15.0   0.2270568E-01   0.1138278       0.3253739E-03   0.6645799      -0.3579791E-03   0.4802337E-02   0.6881535E-01
   16.0   0.2321262E-01   0.1160859       0.4969814E-03   0.6622345      -0.3366543E-03   0.4827988E-02   0.6872605E-01
   17.0   0.2340638E-01   0.1135857       0.3338401E-03   0.6614609      -0.3177420E-03   0.4847092E-02   0.6872760E-01
   18.0   0.2379905E-01   0.1146266       0.3938954E-03   0.6623203      -0.2997254E-03   0.4856118E-02   0.6892966E-01
   19.0   0.2393846E-01   0.1122048       0.2688365E-03   0.6633988      -0.2909425E-03   0.4866553E-02   0.6897321E-01
   20.0   0.2411077E-01   0.1102718       0.1827796E-03   0.6599619      -0.2351808E-03   0.4868548E-02   0.6833628E-01
   21.0   0.2455042E-01   0.1125680       0.3140224E-03   0.6562413      -0.2222671E-03   0.4904673E-02   0.6821160E-01
   22.0   0.2473925E-01   0.1111191       0.2086483E-03   0.6567159      -0.2089762E-03   0.4913121E-02   0.6834073E-01
   23.0   0.2488146E-01   0.1095673       0.1108906E-03   0.6572102      -0.2237969E-03   0.4938120E-02   0.6827846E-01
   24.0   0.2502405E-01   0.1084278       0.4928154E-04   0.6586089      -0.2303352E-03   0.4954193E-02   0.6858926E-01
   25.0   0.2534227E-01   0.1106153       0.2135317E-03   0.6582890      -0.2061598E-03   0.4953991E-02   0.6847569E-01
   26.0   0.2567139E-01   0.1123258       0.2860753E-03   0.6593190      -0.2062601E-03   0.4964634E-02   0.6873256E-01
   27.0   0.2579515E-01   0.1108092       0.1999535E-03   0.6568895      -0.1829867E-03   0.4974167E-02   0.6805089E-01
   28.0   0.2596348E-01   0.1102704       0.2032278E-03   0.6591843      -0.2081832E-03   0.4995139E-02   0.6838913E-01
   29.0   0.2621108E-01   0.1115045       0.2437523E-03   0.6581622      -0.2377575E-03   0.5047159E-02   0.6890699E-01
   30.0   0.2625614E-01   0.1099547       0.1468914E-03   0.6570284      -0.2082258E-03   0.5041014E-02   0.6843995E-01
   31.0   0.2655676E-01   0.1121852       0.2926836E-03   0.6566610      -0.2158606E-03   0.5068833E-02   0.6886172E-01
   32.0   0.2647446E-01   0.1090672       0.1117695E-03   0.6529134      -0.2044255E-03   0.5102939E-02   0.6883740E-01
   33.0   0.2670520E-01   0.1098891       0.1347350E-03   0.6524956      -0.1863746E-03   0.5101676E-02   0.6844962E-01
   34.0   0.2684582E-01   0.1100055       0.1633769E-03   0.6518013      -0.1913381E-03   0.5123483E-02   0.6841928E-01
   35.0   0.2694508E-01   0.1099269       0.1704120E-03   0.6521971      -0.2156034E-03   0.5159962E-02   0.6898980E-01
   36.0   0.2704875E-01   0.1097393       0.1383845E-03   0.6514024      -0.1952616E-03   0.5160354E-02   0.6886978E-01
   37.0   0.2709602E-01   0.1091388       0.1238842E-03   0.6493275      -0.1856284E-03   0.5177400E-02   0.6859813E-01
   38.0   0.2726491E-01   0.1109075       0.2273974E-03   0.6487387      -0.1733813E-03   0.5181801E-02   0.6856745E-01
   39.0   0.2717937E-01   0.1082365       0.6843921E-04   0.6489332      -0.1941075E-03   0.5213676E-02   0.6892086E-01
   40.0   0.2745826E-01   0.1106886       0.2300843E-03   0.6407253      -0.1855176E-03   0.5278441E-02   0.6868168E-01
   41.0   0.2730915E-01   0.1073362       0.4421577E-04   0.6373561      -0.1864838E-03   0.5316057E-02   0.6871238E-01
   42.0   0.2752883E-01   0.1085156       0.5184823E-04   0.6361291      -0.1925358E-03   0.5340218E-02   0.6868206E-01
   43.0   0.2758851E-01   0.1086676       0.7948471E-04   0.6349726      -0.1992562E-03   0.5369194E-02   0.6906149E-01
   44.0   0.2768278E-01   0.1090131       0.1102992E-03   0.6322373      -0.1894948E-03   0.5386465E-02   0.6851877E-01
   45.0   0.2797795E-01   0.1119740       0.2646263E-03   0.6335535      -0.2050327E-03   0.5402054E-02   0.6881517E-01
   46.0   0.2795772E-01   0.1106134       0.1994871E-03   0.6332567      -0.1972279E-03   0.5402899E-02   0.6870939E-01
   47.0   0.2793171E-01   0.1092499       0.1334141E-03   0.6328537      -0.1908541E-03   0.5402265E-02   0.6856396E-01
   48.0   0.2794956E-01   0.1085515       0.8489315E-04   0.6341616      -0.2103666E-03   0.5417326E-02   0.6879504E-01
   49.0   0.2819464E-01   0.1116629       0.2998968E-03   0.6334183      -0.1996284E-03   0.5414086E-02   0.6852420E-01
   50.0   0.2804340E-01   0.1085284       0.7137383E-04   0.6311231      -0.1932210E-03   0.5430992E-02   0.6839103E-01
   51.0   0.2806747E-01   0.1085693       0.9678267E-04   0.6324897      -0.2115993E-03   0.5447058E-02   0.6871264E-01
   52.0   0.2825517E-01   0.1101798       0.1844318E-03   0.6314284      -0.1950232E-03   0.5440651E-02   0.6838246E-01
   53.0   0.2830923E-01   0.1106381       0.2202977E-03   0.6306089      -0.2056790E-03   0.5464979E-02   0.6860732E-01
